JesuitPlaceAbbreviation,Places,MissionDate(s),ViceProvinceDate(s),ProvinceDate(s),Latitude,Longitude,,Placeholder City,,Placeholder Country
Oreg,Oregoniensis,,,1931,45.5202471,-122.6741949,,Portland,,Oregon
Par,Parisiensis,,,1961,48.8566969,2.3514616,,Paris,,France
Patn,Patnen.,,1956,1961,25.416667,85.166667,,Patna,,India
Peru,Peruvian.,,1958,1968,-12.0621065,-77.0365256,,Lima,,Peru
Phil,Phillippina,,,1957,14.5907332,120.9809674,,Manila,,Philippines
Pol,Poloniae,,,1918-1926,52.2337172,21.07141113,,Warsaw,,Poland
PolMai,Poloniae Maioris et Mazoviae,,,1926,52.2337172,21.07141113,,Warsaw,,Poland
PolMin,Poloniae Minoris,,,1926,50.0619474,19.9368564,,Krakow,,Poland
PrOr,Proximi Orientis,,1957,,33.8959203,35.47843,,Beirut,,Lebanon
Queb,Quebecen.,,,1964-1968,45.5505849,-73.60223174,,Montreal,,Canada
Ranch,Ranchiensis,,1956,,23.30063985,85.37344271,,Ranchi,,India
Rom,Romana,,,1831,41.8933203,12.4829321,,Rome,,Italy
Romi,Romenica,,1937,,44.4361414,26.1027202,,Bucharest,,Romania
Sic,Siculae,,,1807,37.8819449,13.60954369,,Palermo,,Italy
Slova,Slovakiae,,1938,,48.1359085,17.15974406,,Bratislava,,Slovakia
Slove,Sloveniae,,1969,,46.0499803,14.5068602,,Ljubljana,,Slovenia
Tarr,Tarraconensis,,,1948,41.3828939,2.1774322,,Barcelona,,Spain
Taur,Taurinensis,,,1831,45.0677551,7.6824892,,Turin,,Italy
Tole,Toletana,,,1880,40.4167047,-3.7035825,,Madrid,,Spain
Tolo,Tolosana,,,1852-1961,43.6044622,1.4442469,,Toulouse,,France
Uru,Uruguariensis,,1961,,-34.8652724,-56.1819512,,Montevideo,,Uruguay
USA,American Septemtrionalis Statua Foederati,,,,39.2908816,-76.610759,,Baltimore,,United States
USic,Utriusque Siciliae,,,1804-1806,37.8819449,13.60954369,,Palermo,,Italy
Ven,Venata,,,1846-1936,45.4371908,12.3345898,,Venice ,,Italy
VenM,Veneto-Mediolanensis,,,1936,45.4077172,11.8734455,,Padua,,Italy
Venez,Venezolan.,,1958,,10.506098,-66.9146017,,Caracas,,Venezuela
Wisc,Wisconsinensis,,,1955,43.074761,-89.3837613,,Madison,,Wisconsin
Zambe,Zambesian.,1878-1893,,,-33.3070589,26.5272648,,Makhanda (Grahamstown),,South Africa
Zambi,Zambia,,1969,,-15.4164488,28.2821535,,Lusaka,,Zambia
